,Date,1,2,3,4,5,6,7
127,"December 7, 2016",6,7,12,32,34,46,33
128,"December 10, 2016",3,37,40,41,47,49,6
129,"December 14, 2016",20,22,40,41,42,47,15
130,"December 17, 2016",9,16,26,27,32,34,37
131,"December 21, 2016",16,27,30,38,47,49,8
132,"December 24, 2016",15,20,23,27,39,48,34
133,"December 28, 2016",1,5,10,15,40,41,27
134,"December 31, 2016",3,5,14,18,26,28,40
135,"January 4, 2017",2,11,13,23,35,48,30
136,"January 7, 2017",1,10,18,19,23,27,48
137,"January 11, 2017",24,34,36,38,42,43,30
138,"January 14, 2017",1,6,19,30,32,44,33
139,"January 18, 2017",10,17,20,24,33,35,28
140,"January 21, 2017",8,22,23,36,40,42,5
141,"January 25, 2017",2,14,19,28,42,44,34
142,"January 28, 2017",9,10,23,28,41,47,17
143,"February 1, 2017",5,9,11,36,42,43,41
144,"February 4, 2017",2,8,9,13,41,44,27
145,"February 8, 2017",3,4,8,12,13,46,26
146,"February 11, 2017",10,11,21,28,38,44,17
147,"February 15, 2017",1,16,17,24,41,46,22
148,"February 18, 2017",11,13,14,20,43,49,25
149,"February 22, 2017",9,21,25,26,31,41,11
150,"February 25, 2017",21,23,31,33,38,42,22
151,"March 1, 2017",6,14,17,18,31,43,38
152,"March 4, 2017",5,16,24,31,38,47,42
153,"March 8, 2017",10,17,24,28,35,36,40
154,"March 11, 2017",6,10,11,23,42,47,44
155,"March 15, 2017",16,17,21,34,37,46,3
156,"March 18, 2017",6,16,29,33,41,48,23
157,"March 22, 2017",2,3,5,27,40,46,28
158,"March 25, 2017",5,9,14,24,30,35,21
159,"March 29, 2017",3,12,16,17,22,30,48
160,"April 1, 2017",27,40,41,42,45,46,20
161,"April 5, 2017",3,10,19,30,44,48,40
162,"April 8, 2017",4,9,10,15,38,39,49
163,"April 12, 2017",7,19,37,38,41,42,11
164,"April 15, 2017",11,19,22,23,41,46,5
165,"April 19, 2017",4,11,21,24,44,49,41
166,"April 22, 2017",4,7,15,16,43,48,26
167,"April 26, 2017",9,10,11,13,45,49,24
168,"April 29, 2017",10,23,26,40,45,46,12
169,"May 3, 2017",1,5,7,16,28,46,30
170,"May 6, 2017",6,7,9,11,34,38,8
171,"May 10, 2017",6,7,8,21,27,38,23
172,"May 13, 2017",18,19,22,26,30,47,43
173,"May 17, 2017",9,17,36,38,41,45,39
174,"May 20, 2017",5,8,10,20,33,34,45
175,"May 24, 2017",3,5,9,22,37,46,10
176,"May 27, 2017",7,15,25,26,27,36,12
177,"May 31, 2017",1,3,8,9,12,40,2
178,"June 3, 2017",7,12,32,36,40,44,45
179,"June 7, 2017",16,19,23,30,33,40,46
180,"June 10, 2017",3,4,21,31,33,48,26
181,"June 14, 2017",17,24,26,27,35,49,33
182,"June 17, 2017",5,6,18,21,36,44,32
183,"June 21, 2017",2,12,34,39,41,45,21
184,"June 24, 2017",3,11,16,40,43,46,36
185,"June 28, 2017",8,21,25,34,46,48,4
186,"July 1, 2017",15,16,22,33,37,41,27
187,"July 5, 2017",4,9,33,36,47,49,10
188,"July 8, 2017",20,25,26,32,34,36,9
189,"July 12, 2017",12,13,30,41,45,49,16
190,"July 15, 2017",10,12,27,29,34,48,39
191,"July 19, 2017",2,5,10,11,27,39,48
192,"July 22, 2017",5,8,17,32,38,45,18
193,"July 26, 2017",1,2,18,26,36,44,49
194,"July 29, 2017",12,15,17,31,47,49,26
195,"August 2, 2017",13,16,24,25,38,43,48
196,"August 5, 2017",18,21,36,41,45,47,17
197,"August 9, 2017",16,23,28,38,41,43,19
198,"August 12, 2017",5,8,13,25,33,45,38
199,"August 16, 2017",25,29,30,31,33,47,34
200,"August 19, 2017",2,13,27,45,48,49,19
201,"August 23, 2017",9,15,24,33,40,46,38
202,"August 26, 2017",5,7,32,38,40,46,47
203,"August 30, 2017",21,23,31,33,36,38,9
204,"September 2, 2017",9,19,26,27,42,46,21
205,"September 6, 2017",9,15,18,21,24,28,14
206,"September 9, 2017",5,9,18,29,39,47,35
207,"September 13, 2017",18,22,24,28,29,33,7
208,"September 16, 2017",9,17,19,26,37,47,13
209,"September 20, 2017",6,17,29,37,45,47,39
210,"September 23, 2017",4,11,15,20,35,47,25
211,"September 27, 2017",2,16,19,20,23,34,9
212,"September 30, 2017",6,27,33,38,40,47,16
213,"October 4, 2017",4,6,10,11,20,35,43
214,"October 7, 2017",8,22,28,40,46,49,9
215,"October 11, 2017",18,24,32,36,37,44,9
216,"October 14, 2017",16,22,28,29,32,34,43
217,"October 18, 2017",11,25,33,35,40,42,15
218,"October 21, 2017",3,24,26,30,34,49,47
219,"October 25, 2017",6,31,37,40,41,42,44
220,"October 28, 2017",8,15,25,30,31,32,1
221,"November 1, 2017",1,23,29,32,45,49,16
222,"November 4, 2017",1,3,6,21,22,33,19
223,"November 8, 2017",22,24,25,32,39,42,45
224,"November 11, 2017",15,21,24,31,37,42,32
225,"November 15, 2017",18,25,29,30,36,48,47
226,"November 18, 2017",9,16,18,22,23,40,13
227,"November 22, 2017",26,28,31,36,38,45,18
228,"November 25, 2017",16,17,21,31,39,49,29
229,"November 29, 2017",11,18,27,33,37,43,20
230,"December 2, 2017",10,12,29,33,47,48,24
231,"December 6, 2017",6,9,16,19,21,28,35
232,"December 9, 2017",8,10,11,14,19,33,30
233,"December 13, 2017",12,29,30,40,45,48,27
234,"December 16, 2017",2,13,24,26,31,41,40
235,"December 20, 2017",3,4,28,30,34,41,31
236,"December 23, 2017",8,11,22,29,39,40,30
237,"December 27, 2017",4,7,10,14,27,31,1
238,"December 30, 2017",8,12,23,25,45,47,43
239,"January 3, 2018",3,13,20,35,37,39,14
240,"January 6, 2018",12,25,36,39,42,45,29
241,"January 10, 2018",9,10,19,23,28,49,15
242,"January 13, 2018",21,26,32,40,42,44,12
243,"January 17, 2018",6,24,34,39,43,44,8
244,"January 20, 2018",6,10,14,27,30,40,5
245,"January 24, 2018",9,20,21,28,34,35,33
246,"January 27, 2018",7,8,13,24,28,35,26
247,"January 31, 2018",1,7,27,31,34,39,3
248,"February 3, 2018",10,13,16,23,36,44,42
249,"February 7, 2018",3,8,11,18,28,45,6
250,"February 10, 2018",18,20,21,22,30,33,26
251,"February 14, 2018",8,15,17,22,30,43,13
252,"February 17, 2018",18,29,31,36,47,48,17
253,"February 21, 2018",10,11,24,25,30,49,47
254,"February 24, 2018",3,13,19,26,33,44,5
255,"February 28, 2018",3,14,36,38,40,48,23
256,"March 3, 2018",12,17,25,30,32,39,47
257,"March 7, 2018",6,30,33,38,45,46,40
258,"March 10, 2018",2,10,28,43,44,48,39
259,"March 14, 2018",1,9,10,19,33,43,21
260,"March 17, 2018",16,17,35,43,44,46,49
261,"March 21, 2018",1,5,9,12,39,41,28
262,"March 24, 2018",9,11,28,30,45,49,5
263,"March 28, 2018",11,12,19,24,28,46,39
264,"March 31, 2018",3,7,22,26,43,47,48
265,"April 4, 2018",6,8,9,13,34,40,4
266,"April 7, 2018",18,22,36,40,47,49,32
267,"April 11, 2018",3,7,10,32,41,43,33
268,"April 14, 2018",1,11,19,36,48,49,9
269,"April 18, 2018",12,17,19,22,27,39,38
270,"April 21, 2018",12,19,20,30,41,49,9
271,"April 25, 2018",10,14,15,16,40,46,6
272,"April 28, 2018",24,31,33,34,44,46,10
273,"May 2, 2018",4,7,28,36,37,49,21
